grantee,grantee_url,year,amount,issue_area,sub_issue_area,grant_info
Abode Services,/grants/grantee/abode-services,2018,"$25,000",Community,,
Allied Media Projects,/grants/grantee/allied-media-projects,2018,"$125,000",Immigrant Rights,California Civic Participation,"For the 18MillionRising.org project to conduct online advocacy and organizing in Asian American communities. $125,000 over 18 months"
American Civil Liberties Union Foundation,/grants/grantee/american-civil-liberties-union-foundation,2018,"$200,000",Gay and Lesbian Rights,Litigation,"For the LGBT & HIV Project to pursue litigation defending marriage equality and advancing nondiscrimination protections for LGBT people. $200,000"
Angel Island Immigration Station Foundation,/grants/grantee/angel-island-immigration-station-foundation,2018,"$3,000",Immigrant Rights,,
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2018,"$5,000",Immigrant Rights,,
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2018,"$75,000",Immigrant Rights,California Statewide and Local Policy,"To build a strong Asian American Pacific Islander voice on state policies impacting immigrant communities. $75,000"
Asian Women's Shelter,/grants/grantee/asian-women-s-shelter,2018,"$5,000",Community,,
Association of Fundraising Professionals - Golden Gate Chapter,/grants/grantee/association-of-fundraising-professionals-golden-gate-chapter,2018,"$10,000",Community,,
Berkeley Food & Housing Project,/grants/grantee/berkeley-food-housing-project,2018,"$20,000",Community,,
BoardSource,/grants/grantee/boardsource,2018,"$50,000",Leadership,Advancing Knowledge and Learning,"For a campaign to increase the diversity on nonprofit boards $50,000"
Borealis Philanthropy,/grants/grantee/borealis-philanthropy,2018,"$6,000",Gay and Lesbian Rights,Research & Communications,
Borealis Philanthropy,/grants/grantee/borealis-philanthropy,2018,"$250,000",Leadership,Strengthening Social Movements,"To deepen the ability of nonprofit leaders to address equity and inclusion in their organizations and work. $250,000 over 18 months (2018-2019)"
Building Opportunities for Self-Sufficiency,/grants/grantee/building-opportunities-for-self-sufficiency,2018,"$25,000",Community,,
California Immigrant Policy Center,/grants/grantee/california-immigrant-policy-center,2018,"$200,000",Immigrant Rights,California Statewide and Local Policy,"To advance immigrant rights and integration policies in California. $200,000"
California Immigrant Policy Center,/grants/grantee/california-immigrant-policy-center,2018,"$52,000",Leadership,Investing in Our Grantees,"To help a newly independent nonprofit build its governing board and strengthen its senior staff team and funding base. $52,000"
California Immigrant Policy Center,/grants/grantee/california-immigrant-policy-center,2018,"$65,000",Gay and Lesbian Rights,Cross Movement,"To bring expertise gained through the marriage equality movement to support immigrant rights messaging research. $65,000"
California Pacific Medical Center Foundation,/grants/grantee/california-pacific-medical-center-foundation,2018,"$30,000",Community,,"For the African American and Sister to Sister Breast Health Programs and the Kalmanovitz Child Development Center. $30,000"
California Pacific Medical Center Foundation,/grants/grantee/california-pacific-medical-center-foundation,2018,"$2,000",Community,,
Campaign for College Opportunity,/grants/grantee/campaign-for-college-opportunity,2018,"$300,000",Education Equity,College Access and Success,"To educate Californians about the need to improve student success in community colleges and to support the implementation of college equity reforms in the Bay Area and statewide. $300,000 over 18 months."
Catholic Charities,/grants/grantee/catholic-charities,2018,"$20,000",Community,,
Cavalier Rescue USA,/grants/grantee/cavalier-rescue-usa,2018,$250,Community,,
Center for Community Change,/grants/grantee/center-for-community-change,2018,"$10,000",Immigrant Rights,,
Center for Community Change,/grants/grantee/center-for-community-change,2018,"$200,000",Immigrant Rights,Federal Immigration Reform,"To protect and defend immigrant communities. $200,000 over two years"
Center for Effective Philanthropy,/grants/grantee/center-for-effective-philanthropy,2018,"$15,000",Community,,
Central Coast Alliance United for a Sustainable Economy,/grants/grantee/central-coast-alliance-united-for-a-sustainable-economy,2018,"$100,000",Immigrant Rights,California Statewide and Local Policy,"To organize farmworkers and Latino immigrants. $100,000 over two years"
Chinese Progressive Association,/grants/grantee/chinese-progressive-association,2018,"$100,000",Immigrant Rights,California Civic Participation,"To increase the civic participation of Asian American Pacific Islanders in California. $100,000"
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2018,"$11,200",Community,,
Coaching Corps,/grants/grantee/coaching-corps,2018,"$30,000",Community,,"For the 2019 Game Changer Awards. $30,000"
Coalition for Humane Immigrant Rights of Los Angeles (CHIRLA),/grants/grantee/coalition-for-humane-immigrant-rights-of-los-angeles-chirla,2018,"$250,000",Immigrant Rights,California Statewide and Local Policy,"To advance immigrant rights and integration in California. $250,000 over two years."
COFEM,/grants/grantee/cofem,2018,"$100,000",Immigrant Rights,California Civic Participation,"To educate Mexicans in California about their rights and provide legal assistance. $100,000 over two years"
Communications Network,/grants/grantee/communications-network,2018,"$10,000",Community,,
Community Awareness & Treatment Services,/grants/grantee/community-awareness-treatment-services,2018,"$20,000",Community,,
Community Initiatives,/grants/grantee/community-initiatives,2018,"$90,000",Education Equity,Early Success and PreK-3rd,"To reduce chronic absence of disadvantaged San Francisco children in the early grades. $90,000"
Community Initiatives,/grants/grantee/community-initiatives,2018,"$3,000",Education Equity,,
Community Initiatives,/grants/grantee/community-initiatives,2018,"$3,000,000",Community,,"To support the Educators for Fair Consideration project's California Campus Catalyst Fund, a program to expand support services to undocumented immigrants at campuses in California's public higher education systems. $3,000,000 over three years (2018-2021)"
Community Initiatives,/grants/grantee/community-initiatives,2018,"$150,000",Community,,"To strengthen strategic communications to advance the work of Haas, Jr. Fund grantees. $150,000"
Contemporary Jewish Museum,/grants/grantee/contemporary-jewish-museum,2018,"$1,000",Community,,
Cornell University,/grants/grantee/cornell-university,2018,"$25,000",Gay and Lesbian Rights,Research & Communications,
Council on Foundations,/grants/grantee/council-on-foundations,2018,"$25,000",Community,,
Define American,/grants/grantee/define-american,2018,"$200,000",Immigrant Rights,Federal Immigration Reform,"To use the power of storytelling to shift the national conversation about immigrants. $200,000 over two years (2018-2020)"
Educational Results Partnership,/grants/grantee/educational-results-partnership,2018,"$130,000",Education Equity,College Pipeline,"To conduct research and develop analytical tools to improve college and career readiness among San Francisco students. $130,000"
Episcopal Community Services of San Francisco,/grants/grantee/episcopal-community-services-of-san-francisco,2018,"$25,000",Community,,
Equality Federation Institute,/grants/grantee/equality-federation-institute,2018,"$10,000",Gay and Lesbian Rights,Research & Communications,
Equality Federation Institute,/grants/grantee/equality-federation-institute,2018,"$135,000",Gay and Lesbian Rights,Public Education,"To support state-based campaigns to educate the public about the need to protect LGBT people from discrimination. $135,000"
Equality Florida Institute,/grants/grantee/equality-florida-institute,2018,"$75,000",Gay and Lesbian Rights,Public Education,"To educate Floridians about the need to protect LGBT people from discrimination and foster ties immigrant rights groups. $75,000"
Equality North Carolina Foundation,/grants/grantee/equality-north-carolina-foundation,2018,"$125,000",Gay and Lesbian Rights,Public Education,"To engage in public education about the harms caused by by anti-LGBT discriminatiom. $125,000"
Equality Ohio Education Fund,/grants/grantee/equality-ohio-education-fund,2018,"$65,000",Gay and Lesbian Rights,Public Education,"To engage Ohio corporations in educating the public about the importance of protecting LGBT people from discrimination. $65,000"
Equality Pennsylvania Education Fund,/grants/grantee/equality-pennsylvania-education-fund,2018,"$50,000",Gay and Lesbian Rights,Public Education,"To educate Pennsylvanians about the need to protect LGBT people from discrimination. $50,000"
Equality Texas Foundation,/grants/grantee/equality-texas-foundation,2018,"$100,000",Gay and Lesbian Rights,Public Education,"To educate Texans about the importance of protecting LGBT people from discrimination. $100,000"
Faith in Public Life,/grants/grantee/faith-in-public-life,2018,"$200,000",Gay and Lesbian Rights,Public Education,"To engage in public education about the harms caused by by anti-LGBT discrimination. $200,000"
Family Emergency Shelter Coalition,/grants/grantee/family-emergency-shelter-coalition,2018,"$15,000",Community,,
Farmworker Justice Fund,/grants/grantee/farmworker-justice-fund,2018,"$150,000",Immigrant Rights,Federal Immigration Reform,"To improve immigration policy, wages, and working conditions for farmworkers. $150,000 over two years (2018-2020)"
Filipino American Development Foundation,/grants/grantee/filipino-american-development-foundation,2018,"$1,000",Community,,
Foundation of City College of San Francisco,/grants/grantee/foundation-of-city-college-of-san-francisco,2018,"$150,000",Education Equity,College Access and Success,"To close opportunity gaps for underrepresented students at City College of San Francisco by engaging faculty in equity-oriented professional development. $150,000"
Freedom Center for Social Justice,/grants/grantee/freedom-center-for-social-justice,2018,"$125,000",Gay and Lesbian Rights,Public Education,"To engage clergy coalitions across North Carolina in supporting LGBT equality. $125,000"
Freedom for All Americans Education Fund,/grants/grantee/freedom-for-all-americans-education-fund,2018,"$250,000",Gay and Lesbian Rights,Public Education,"For the America Competes project to educate large and small businesses about the need to protect LGBT people from discrimination. $250,000 over 18 months (2018-2020)"
Freedom for All Americans Education Fund,/grants/grantee/freedom-for-all-americans-education-fund,2018,"$250,000",Gay and Lesbian Rights,Public Education,"For public education to increase understanding of and support for the need to protect LGBT people from discrimination. $250,000"
Funders for LGBTQ Issues,/grants/grantee/funders-for-lgbtq-issues,2018,"$80,000",Gay and Lesbian Rights,,"To increase philanthropic giving to the LGBT community. $80,000 over two years (2018-2020)"
Georgetown University,/grants/grantee/georgetown-university,2018,"$150,000",Gay and Lesbian Rights,,"For the Center for Law and Social Change to share with other social justice movements lessons that were learned in the struggle to achieve marriage equality. $150,000"
GLBTQ Legal Advocates & Defenders,/grants/grantee/glbtq-legal-advocates-defenders,2018,"$110,000",Gay and Lesbian Rights,Litigation,"To pursue federal litigation advancing nondiscrimination protections for LGBT people. $110,000"
Glide Foundation,/grants/grantee/glide-foundation,2018,"$25,000",Community,,
Global Strategy Group,/grants/grantee/global-strategy-group,2018,"$25,000",Gay and Lesbian Rights,Research & Communications,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2018,"$5,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2018,"$5,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2018,"$10,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2018,"$45,000",Community,,"For the Trails Forever Dinner. $45,000"
Grantmakers Concerned with Immigrants and Refugees,/grants/grantee/grantmakers-concerned-with-immigrants-and-refugees,2018,"$50,000",Leadership,Investing in Our Grantees,"To build bench strength and improve governance and management processes. $50,000"
Grantmakers for Education,/grants/grantee/grantmakers-for-education,2018,"$4,000",Education Equity,,
Grantmakers for Effective Organizations,/grants/grantee/grantmakers-for-effective-organizations,2018,"$150,000",Leadership,Advancing Knowledge and Learning,"To help foundations adopt best practices in grantmaking, including new work linking racial equity and organizational effectiveness. $150,000 over two years (2018-2020)"
Grassroots Institute for Fundraising Training,/grants/grantee/grassroots-institute-for-fundraising-training,2018,"$10,000",Leadership,Advancing Knowledge and Learning,
Homeless Prenatal Program,/grants/grantee/homeless-prenatal-program,2018,"$10,000",Community,,
Horizons Foundation,/grants/grantee/horizons-foundation,2018,"$57,000",Gay and Lesbian Rights,,"To support LGBT executive directors in the Bay Area and report on the successes and challenges of the LGBT Giving Project. $57,000"
Horizons Foundation,/grants/grantee/horizons-foundation,2018,"$34,500",Gay and Lesbian Rights,Public Education,"To help LGBT leaders and organizations prepare for a unified response to the Masterpiece Supreme Court decision. $34,500"
Horizons Foundation,/grants/grantee/horizons-foundation,2018,$500,Community,,
Immigrant Legal Resource Center,/grants/grantee/immigrant-legal-resource-center,2018,"$500,000",Immigrant Rights,California Civic Participation,"For the New Americans Campaign project to increase citizenship in California and nationally. $500,000"
Independent Sector,/grants/grantee/independent-sector,2018,"$12,500",Community,,
Intersections International,/grants/grantee/intersections-international,2018,"$100,000",Gay and Lesbian Rights,Public Education,"For the Believe Out Loud project to educate and engage Christians around the need to protect LGBT people from discrimination. $100,000"
"Jewish Community Federation of San Francisco, the Peninsula, Marin & Sonoma",/grants/grantee/jewish-community-federation-of-san-francisco-the-peninsula-marin-sonoma,2018,"$125,000",Community,,"For general support. $125,000 over two years (2018-2020)"
Lambda Legal Defense and Education Fund,/grants/grantee/lambda-legal-defense-and-education-fund,2018,"$50,000",Gay and Lesbian Rights,Litigation,"To pursue federal litigation advancing nondiscrimination protections for LGBT people and collaborate with other national legal groups. $50,000"
Latino Community Foundation,/grants/grantee/latino-community-foundation,2018,"$7,500",Community,,
Legal Aid at Work,/grants/grantee/legal-aid-at-work,2018,"$20,000",Community,,
LGBT Labor Leadership Initiative,/grants/grantee/lgbt-labor-leadership-initiative,2018,"$50,000",Gay and Lesbian Rights,Public Education,"To enlist union local leaders in supporting nondiscrimination protections for LGBT people. $50,000"
Many Voices,/grants/grantee/many-voices,2018,"$125,000",Gay and Lesbian Rights,Public Education,"To make Presbyterian congregations more welcoming of LGBT people. $125,000"
Meals On Wheels of San Francisco,/grants/grantee/meals-on-wheels-of-san-francisco,2018,"$1,000",Community,,
More Light Presbyterians,/grants/grantee/more-light-presbyterians,2018,"$125,000",Gay and Lesbian Rights,Public Education,
Movement Advancement Project,/grants/grantee/movement-advancement-project,2018,"$280,000",Gay and Lesbian Rights,Research & Communications,"For messaging research and technical assistance to advance equal rights for LGBT people. $280,000 over 18 months (2018-2019)"
Movement Strategy Center,/grants/grantee/movement-strategy-center,2018,"$2,500",Immigrant Rights,,
National Center for Lesbian Rights,/grants/grantee/national-center-for-lesbian-rights,2018,"$200,000",Gay and Lesbian Rights,Litigation,"To pursue litigation defending marriage equality and advancing nondiscrimination protections for LGBT people. $200,000"
National Center for Lesbian Rights,/grants/grantee/national-center-for-lesbian-rights,2018,"$50,000",Leadership,Investing in Our Grantees,"To ensure a smooth transition from a longtime executive director. $50,000"
National Immigration Law Center,/grants/grantee/national-immigration-law-center,2018,"$250,000",Immigrant Rights,Federal Immigration Reform,"To defend the rights of immigrant families. $250,000 over two years"
National Korean American Service & Education Consortium,/grants/grantee/national-korean-american-service-education-consortium,2018,"$52,000",Leadership,Investing in Our Grantees,"To strengthen its co-directorship model of leadership. $52,000"
National Korean American Service & Education Consortium,/grants/grantee/national-korean-american-service-education-consortium,2018,"$200,000",Immigrant Rights,California Civic Participation,"To increase civic participation and raise the voices and priorities of Asian Americans in immigration policy debates. $200,000 over two years"
National LGBTQ Task Force,/grants/grantee/national-lgbtq-task-force,2018,"$250,000",Gay and Lesbian Rights,Public Education,"For the Institute for Welcoming Resources project to amplify the voices of people of faith in educating the public about the need to protect LGBT people from discrimination. $250,000 over 18 months (2018-2020)"
National LGBTQ Task Force,/grants/grantee/national-lgbtq-task-force,2018,"$200,000",Gay and Lesbian Rights,Public Education,
National Queer Asian Pacific Islander Alliance,/grants/grantee/national-queer-asian-pacific-islander-alliance,2018,"$100,000",Gay and Lesbian Rights,Cross Movement,"To promote immigrant rights and build the capacity of LGBT Asian American and Pacific Islander organizations. $100,000"
NEO Philanthropy,/grants/grantee/neo-philanthropy,2018,"$1,000,000",Immigrant Rights,California Civic Participation,"For the Four Freedoms Fund and Asian America Pacific Islander Civic Engagement Fund projects. $1,000,000 over two years (2018-2020)"
"New Israel Fund, San Francisco",/grants/grantee/new-israel-fund-san-francisco,2018,"$5,000",Community,,
Nonprofit Quarterly,/grants/grantee/nonprofit-quarterly,2018,"$40,000",Leadership,Advancing Knowledge and Learning,"To promote evidence-based leadership and management practices through its multiple media channels. $40,000"
Northern California Grantmakers,/grants/grantee/northern-california-grantmakers,2018,"$10,000",Community,,
Northern California Grantmakers,/grants/grantee/northern-california-grantmakers,2018,"$17,500",Community,,
Northern Plains Resource Council,/grants/grantee/northern-plains-resource-council,2018,"$10,000",Community,,
Oakland Museum of California Foundation,/grants/grantee/oakland-museum-of-california-foundation,2018,"$2,500",Community,,
Pacific School of Religion - Center for Lesbian and Gay Studies in Religion and Ministry,/grants/grantee/pacific-school-of-religion-center-for-lesbian-and-gay-studies-in-religion-and-ministry,2018,"$125,000",Gay and Lesbian Rights,Public Education,"For the Umoja project to engage Black clergy in Michigan in public education about the harms caused by by anti-LGBT discrimination. $125,000"
Palm Center,/grants/grantee/palm-center,2018,"$25,000",Gay and Lesbian Rights,Public Education,
Pride Foundation,/grants/grantee/pride-foundation,2018,"$10,000",Gay and Lesbian Rights,Research & Communications,
Pride Foundation,/grants/grantee/pride-foundation,2018,"$150,000",Gay and Lesbian Rights,Public Education,"To support public education about the importance of protecting both religious freedoms and civil rights for LGBT people, including marriage equality. $150,000"
Project Open Hand,/grants/grantee/project-open-hand,2018,"$25,000",Community,,
PROMO Fund,/grants/grantee/promo-fund,2018,"$25,000",Gay and Lesbian Rights,Research & Communications,
Public Religion Research Institute,/grants/grantee/public-religion-research-institute,2018,"$150,000",Gay and Lesbian Rights,Research & Communications,"To study the attitudes about key issues of LGBT equality in all 50 states. $150,000"
Race Forward,/grants/grantee/race-forward,2018,"$100,000",Leadership,Advancing Knowledge and Learning,"To improve the consulting and training available to nonprofit organizations seeking to advance racial equity. $100,000"
Radio Bilingue,/grants/grantee/radio-bilingue,2018,"$100,000",Immigrant Rights,California Statewide and Local Policy,"To support Spanish-language public radio programming on immigration policies and civic participation in California. $100,000 over two years (2018-2020)"
